Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	SL1-SE_exact_rc_pop9_edit6_forSeqmonk	VB2-SE_exact_rc_pop9_edit6_forSeqmonk	VB3-SE_exact_rc_pop9_edit6 _forSeqmonk	VB3_R2-SE_exact_rc_pop9_edit6_forSeqmonk
ChrNC_035780.1:2834398-2834398	NC_035780.1	2834398	2834398		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1940	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834437-2834437	NC_035780.1	2834437	2834437		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1901	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834498-2834498	NC_035780.1	2834498	2834498		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1840	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834987-2834987	NC_035780.1	2834987	2834987		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1351	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835104-2835104	NC_035780.1	2835104	2835104		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1234	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835298-2835298	NC_035780.1	2835298	2835298		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1040	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835627-2835627	NC_035780.1	2835627	2835627		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	711	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835850-2835850	NC_035780.1	2835850	2835850		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	488	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835877-2835877	NC_035780.1	2835877	2835877		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	461	1.0	1.0	1.0	1.0
ChrNC_035780.1:2838919-2838919	NC_035780.1	2838919	2838919		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	351	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839134-2839134	NC_035780.1	2839134	2839134		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	566	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839225-2839225	NC_035780.1	2839225	2839225		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	657	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839324-2839324	NC_035780.1	2839324	2839324		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	756	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839600-2839600	NC_035780.1	2839600	2839600		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1032	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839605-2839605	NC_035780.1	2839605	2839605		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1037	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839630-2839630	NC_035780.1	2839630	2839630		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1062	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839642-2839642	NC_035780.1	2839642	2839642		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1074	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839643-2839643	NC_035780.1	2839643	2839643		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1075	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839690-2839690	NC_035780.1	2839690	2839690		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1122	1.0	1.0	1.0	1.0
ChrNC_035780.1:2840064-2840064	NC_035780.1	2840064	2840064		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1496	1.0	1.0	1.0	1.0
